region_code,region_name,continent,period,CI_min,CI_max,CI_mean,CI_low,CI_high,CI_COV,CI_COV_daily
US-CENT-SWPP,Southwest Power Pool,North America,2023,141.78,709.04,431.34,311.71,552.43,32.19,16.21
US-CENT-SWPP,Southwest Power Pool,North America,2024,156.28,714.36,417.4,311.1,520.63,31.11,16.22
US-CENT-SWPP,Southwest Power Pool,North America,all,137.37,771.04,447.52,325.76,568.26,31.95,15.52
US-FLA-FMPP,Florida Municipal Power Pool,North America,2021,428.48,711.99,584.12,558.29,610.56,6.82,4.13
US-FLA-FMPP,Florida Municipal Power Pool,North America,2022,348.59,866.7,565.62,541.46,585.29,6.8,4.25
US-FLA-FMPP,Florida Municipal Power Pool,North America,2023,292.1,722.16,534.67,508.53,564.49,8.71,4.98
US-FLA-FMPP,Florida Municipal Power Pool,North America,2024,374.5,705.36,535.78,511.11,559.62,6.93,4.73
US-FLA-FMPP,Florida Municipal Power Pool,North America,all,292.1,866.7,555.04,527.53,583.69,8.24,4.52
US-FLA-FPC,Duke Energy Florida,North America,2021,476.4,611.9,547.91,537.96,560.46,3.15,2.42
US-FLA-FPC,Duke Energy Florida,North America,2022,357.59,620.35,536.73,521.11,551.88,4.51,3.63
US-FLA-FPC,Duke Energy Florida,North America,2023,384.19,611.52,516.92,496.98,537.61,5.73,4.95
US-FLA-FPC,Duke Energy Florida,North America,2024,246.48,573.42,503.46,481.17,530.84,7.72,6.78
US-FLA-FPC,Duke Energy Florida,North America,all,246.48,620.35,526.24,513.05,548.41,6.34,4.45
US-FLA-FPL,Florida Power and Light Company,North America,2021,211.93,549.02,396.64,373.76,423.14,9.4,5.55
US-FLA-FPL,Florida Power and Light Company,North America,2022,221.74,480.79,398.82,377.24,422.62,8.31,5.95
US-FLA-FPL,Florida Power and Light Company,North America,2023,183.29,448.11,370.26,346.07,395.39,9.7,8.08
US-FLA-FPL,Florida Power and Light Company,North America,2024,184.66,474.32,369.71,342.45,406.16,13.15,9.94
US-FLA-FPL,Florida Power and Light Company,North America,all,183.29,549.02,383.85,357.72,413.83,10.83,7.38
US-FLA-GVL,Gainesville Regional Utilities,North America,2021,504.37,941.77,709.61,683.59,751.04,8.86,3.06
US-FLA-GVL,Gainesville Regional Utilities,North America,2022,459.2,941.77,658.29,612.39,705.61,9.0,2.45
US-FLA-GVL,Gainesville Regional Utilities,North America,2023,501.06,642.5,573.78,557.69,589.03,3.98,2.05
US-FLA-GVL,Gainesville Regional Utilities,North America,2024,475.34,700.0,572.73,559.78,586.77,3.71,2.21
US-FLA-GVL,Gainesville Regional Utilities,North America,all,459.2,941.77,628.56,572.22,695.6,11.8,2.44
US-FLA-JEA,Jacksonville Electric Authority,North America,2021,326.37,844.12,635.44,609.63,665.25,8.08,3.8
US-FLA-JEA,Jacksonville Electric Authority,North America,2022,294.13,784.69,626.37,604.15,656.75,8.05,4.18
US-FLA-JEA,Jacksonville Electric Authority,North America,2023,322.17,880.66,622.84,591.95,655.59,7.87,4.82
US-FLA-JEA,Jacksonville Electric Authority,North America,2024,291.08,788.14,611.49,580.34,652.74,9.58,5.6
US-FLA-JEA,Jacksonville Electric Authority,North America,all,291.08,880.66,624.03,597.3,657.82,8.52,4.6
US-FLA-SEC,Seminole Electric Cooperative,North America,2021,457.47,1037.95,798.15,745.97,846.18,9.29,4.19
US-FLA-SEC,Seminole Electric Cooperative,North America,2022,481.61,1037.95,782.57,731.66,838.98,11.35,5.08
US-FLA-SEC,Seminole Electric Cooperative,North America,2023,25.6,1037.95,672.72,597.52,737.52,18.08,4.74
US-FLA-SEC,Seminole Electric Cooperative,North America,2024,437.02,1037.95,582.92,508.05,629.21,10.65,3.99
US-FLA-SEC,Seminole Electric Cooperative,North America,all,25.6,1037.95,709.0,611.1,808.39,17.65,4.5
US-FLA-TAL,City of Tallahassee,North America,2021,324.7,577.86,468.43,459.55,483.77,5.46,3.78
US-FLA-TAL,City of Tallahassee,North America,2022,369.14,508.29,466.88,454.58,482.6,4.88,4.32
US-FLA-TAL,City of Tallahassee,North America,2023,365.17,495.83,465.23,455.68,480.06,4.64,4.04
US-FLA-TAL,City of Tallahassee,North America,2024,368.41,492.04,462.92,452.82,478.22,4.66,3.98
US-FLA-TAL,City of Tallahassee,North America,all,324.7,577.86,465.87,455.69,481.06,4.94,4.03
US-FLA-TEC,Tampa Electric Company,North America,2021,419.12,701.43,567.06,541.28,595.76,7.52,5.44
US-FLA-TEC,Tampa Electric Company,North America,2022,380.73,720.43,544.13,511.77,575.86,8.43,6.47
US-FLA-TEC,Tampa Electric Company,North America,2023,323.21,718.29,514.77,483.3,552.84,10.32,7.86
US-FLA-TEC,Tampa Electric Company,North America,2024,87.64,931.26,489.09,465.13,528.73,15.21,9.79
US-FLA-TEC,Tampa Electric Company,North America,all,87.64,931.26,528.73,493.51,570.25,11.87,7.39
US-MIDA-PJM,PJM Interconnection,North America,2021,312.76,571.86,435.0,396.5,469.64,11.45,3.58
US-MIDA-PJM,PJM Interconnection,North America,2022,313.23,554.4,424.5,394.85,454.59,9.89,3.18
US-MIDA-PJM,PJM Interconnection,North America,2023,307.38,509.38,392.4,367.64,413.55,8.6,3.41
US-MIDA-PJM,PJM Interconnection,North America,2024,265.51,521.66,392.02,362.21,416.57,10.74,3.89
US-MIDA-PJM,PJM Interconnection,North America,all,265.51,571.86,410.97,376.97,440.94,11.3,3.52
US-MIDW-AECI,Associated Electric Cooperative,North America,2021,112.74,971.68,656.39,603.92,719.36,15.13,7.5
US-MIDW-AECI,Associated Electric Cooperative,North America,2022,285.72,971.68,668.42,610.15,728.73,13.38,6.83
US-MIDW-AECI,Associated Electric Cooperative,North America,2023,229.93,971.68,613.3,557.14,676.18,15.25,7.4
US-MIDW-AECI,Associated Electric Cooperative,North America,2024,292.63,971.68,606.05,536.26,679.8,16.39,8.29
US-MIDW-AECI,Associated Electric Cooperative,North America,all,112.74,971.68,636.02,575.67,703.22,15.6,7.51
US-MIDW-LGEE,Louisville Gas and Electric Company and Kentucky Utilities,North America,2021,392.87,1033.3,879.42,854.53,923.3,9.96,2.55
US-MIDW-LGEE,Louisville Gas and Electric Company and Kentucky Utilities,North America,2022,404.0,1025.07,849.97,829.33,887.91,10.82,2.52
US-MIDW-LGEE,Louisville Gas and Electric Company and Kentucky Utilities,North America,2023,388.78,990.82,856.76,838.3,886.69,7.76,2.56
US-MIDW-LGEE,Louisville Gas and Electric Company and Kentucky Utilities,North America,2024,337.16,982.59,846.84,827.6,882.23,8.74,2.56
US-MIDW-LGEE,Louisville Gas and Electric Company and Kentucky Utilities,North America,all,337.16,1033.3,858.24,836.39,896.67,9.52,2.55
US-MIDW-MISO,Midcontinent ISO,North America,2021,368.48,696.6,555.83,503.75,615.6,12.56,4.81
US-MIDW-MISO,Midcontinent ISO,North America,2022,334.47,661.0,521.35,477.79,565.84,11.26,5.01
US-MIDW-MISO,Midcontinent ISO,North America,2023,305.65,633.47,495.89,446.24,551.91,13.45,6.08
US-MIDW-MISO,Midcontinent ISO,North America,2024,278.49,664.13,480.07,429.12,531.04,13.87,6.1
US-MIDW-MISO,Midcontinent ISO,North America,all,278.49,696.6,513.26,461.44,565.49,13.94,5.5
US-NE-ISNE,ISO New England,North America,2021,126.21,380.1,266.49,230.57,304.84,17.96,8.69
US-NE-ISNE,ISO New England,North America,2022,138.82,481.5,271.95,236.91,301.12,18.25,8.5
US-NE-ISNE,ISO New England,North America,2023,154.37,528.71,283.02,254.23,313.2,14.78,6.38
US-NE-ISNE,ISO New England,North America,2024,151.08,427.08,296.02,262.54,327.78,15.45,5.53
US-NE-ISNE,ISO New England,North America,all,126.21,528.71,279.38,246.03,312.95,17.08,7.27
US-NW-AVA,Avista Corporation,North America,2021,54.62,550.97,205.42,159.34,245.25,32.75,14.66
US-NW-AVA,Avista Corporation,North America,2022,46.35,570.77,188.58,138.09,233.78,40.15,14.41
US-NW-AVA,Avista Corporation,North America,2023,25.39,700.0,255.32,202.94,306.41,33.07,15.86
US-NW-AVA,Avista Corporation,North America,2024,33.21,490.6,213.36,165.18,266.3,36.19,14.41
US-NW-AVA,Avista Corporation,North America,all,25.39,700.0,215.67,161.84,266.71,37.21,14.83
US-NW-BPAT,Bonneville Power Administration,North America,2021,28.85,457.48,102.16,70.56,126.03,44.95,15.13
US-NW-BPAT,Bonneville Power Administration,North America,2022,24.61,710.41,98.91,64.24,123.12,59.41,14.69
US-NW-BPAT,Bonneville Power Administration,North America,2023,27.35,705.73,145.68,97.95,163.54,63.52,17.2
US-NW-BPAT,Bonneville Power Administration,North America,2024,26.2,538.92,110.21,78.02,138.47,42.11,15.12
US-NW-BPAT,Bonneville Power Administration,North America,all,24.61,710.41,114.24,74.18,140.55,58.16,15.54
US-NW-CHPD,Chelan County,North America,2021,23.76,113.62,25.88,23.97,24.54,24.19,8.38
US-NW-CHPD,Chelan County,North America,2022,11.0,208.14,24.91,23.98,24.2,23.51,5.53
US-NW-CHPD,Chelan County,North America,2023,11.0,302.15,30.5,24.0,28.25,75.57,19.6
US-NW-CHPD,Chelan County,North America,2024,11.0,261.75,27.39,24.0,26.29,37.87,14.13
US-NW-CHPD,Chelan County,North America,all,11.0,302.15,27.17,23.99,25.43,49.71,11.92
US-NW-DOPD,Douglas County,North America,2021,23.95,158.75,28.11,24.0,24.0,52.0,16.21
US-NW-DOPD,Douglas County,North America,2022,16.61,213.55,26.57,24.0,24.0,46.24,11.73
US-NW-DOPD,Douglas County,North America,2023,16.97,375.32,34.43,24.0,25.67,88.86,30.91
US-NW-DOPD,Douglas County,North America,2024,19.44,282.73,33.2,24.0,24.86,69.89,23.91
US-NW-DOPD,Douglas County,North America,all,16.61,375.32,30.58,24.0,24.21,70.96,20.69
US-NW-GCPD,Grant County,North America,2021,24.0,166.73,42.67,25.39,51.62,52.01,22.63
US-NW-GCPD,Grant County,North America,2022,24.0,224.04,38.11,24.32,42.12,57.35,18.62
US-NW-GCPD,Grant County,North America,2023,24.0,288.72,60.2,29.79,78.52,63.92,28.89
US-NW-GCPD,Grant County,North America,2024,24.0,158.39,52.95,31.34,69.2,49.17,25.28
US-NW-GCPD,Grant County,North America,all,24.0,288.72,48.49,26.3,60.88,60.37,23.85
US-NW-GRID,Gridforce Energy Management,North America,2021,11.0,820.0,481.23,415.47,555.1,20.48,8.57
US-NW-GRID,Gridforce Energy Management,North America,2022,11.0,820.0,486.8,427.71,564.67,22.66,9.61
US-NW-GRID,Gridforce Energy Management,North America,2023,108.23,820.0,509.44,482.27,564.14,16.16,7.01
US-NW-GRID,Gridforce Energy Management,North America,2024,14.49,792.1,483.38,437.11,537.38,15.28,7.19
US-NW-GRID,Gridforce Energy Management,North America,all,11.0,820.0,490.21,441.79,554.85,18.98,8.09
US-NW-IPCO,Idaho Power Company,North America,2021,95.58,841.61,380.38,314.68,436.27,27.7,15.23
US-NW-IPCO,Idaho Power Company,North America,2022,37.12,866.34,377.04,284.67,471.52,36.96,17.15
US-NW-IPCO,Idaho Power Company,North America,2023,27.5,840.0,346.21,257.69,442.23,42.04,18.94
US-NW-IPCO,Idaho Power Company,North America,2024,22.91,769.46,305.69,221.2,392.2,39.0,19.07
US-NW-IPCO,Idaho Power Company,North America,all,22.91,866.34,352.3,271.41,435.42,37.42,17.6
US-NW-NEVP,Nevada Power Company,North America,2021,210.4,786.11,500.16,453.63,547.04,13.86,10.77
US-NW-NEVP,Nevada Power Company,North America,2022,231.03,844.14,473.87,414.84,532.68,17.88,14.04
US-NW-NEVP,Nevada Power Company,North America,2023,104.61,878.06,465.47,403.3,537.1,20.11,14.39
US-NW-NEVP,Nevada Power Company,North America,2024,195.75,632.96,445.63,349.86,537.6,23.58,21.22
US-NW-NEVP,Nevada Power Company,North America,all,104.61,878.06,471.26,411.63,538.59,19.37,15.11
US-NW-NWMT,Northwestern Energy,North America,2021,26.46,1074.05,658.03,590.2,768.3,23.73,7.66
US-NW-NWMT,Northwestern Energy,North America,2022,11.19,1074.05,660.51,600.86,764.43,23.13,8.98
US-NW-NWMT,Northwestern Energy,North America,2023,52.45,1074.05,624.54,557.02,717.59,22.46,8.44
US-NW-NWMT,Northwestern Energy,North America,2024,45.38,1026.67,533.25,447.18,656.03,32.83,13.24
US-NW-NWMT,Northwestern Energy,North America,all,11.19,1074.05,619.02,543.78,731.17,26.63,9.58
US-NW-PACE,Pacificorp East,North America,2021,235.6,903.72,635.22,579.03,706.41,15.96,11.68
US-NW-PACE,Pacificorp East,North America,2022,202.33,962.28,657.44,576.66,748.99,19.9,12.42
US-NW-PACE,Pacificorp East,North America,2023,279.07,950.45,647.58,560.49,743.41,19.91,13.3
US-NW-PACE,Pacificorp East,North America,2024,227.57,948.01,609.63,512.42,715.35,22.51,17.12
US-NW-PACE,Pacificorp East,North America,all,202.33,962.28,637.45,559.47,728.18,19.87,13.63
US-NW-PACW,Pacificorp West,North America,2021,33.66,682.8,330.79,258.41,403.62,32.52,17.52
US-NW-PACW,Pacificorp West,North America,2022,26.46,679.94,251.14,178.11,317.34,40.36,19.29
US-NW-PACW,Pacificorp West,North America,2023,25.94,538.11,214.76,143.91,278.88,46.68,16.72
US-NW-PACW,Pacificorp West,North America,2024,26.87,537.17,196.15,155.48,245.17,35.78,16.23
US-NW-PACW,Pacificorp West,North America,all,25.94,682.8,248.18,172.87,315.8,43.89,17.44
US-NW-PGE,Portland General Electric Company,North America,2021,37.07,496.14,201.03,164.77,234.33,27.98,12.72
US-NW-PGE,Portland General Electric Company,North America,2022,27.12,651.23,174.09,131.41,223.15,42.05,13.21
US-NW-PGE,Portland General Electric Company,North America,2023,27.59,593.69,246.73,206.81,285.38,35.41,13.3
US-NW-PGE,Portland General Electric Company,North America,2024,27.88,483.33,214.14,179.74,259.95,33.15,14.95
US-NW-PGE,Portland General Electric Company,North America,all,27.12,651.23,209.0,163.81,253.05,37.0,13.55
US-NW-PSCO,Public Service Company of Colorado,North America,2021,306.72,921.77,596.61,499.8,690.05,20.31,12.15
US-NW-PSCO,Public Service Company of Colorado,North America,2022,11.11,881.26,542.26,449.37,640.26,23.32,13.75
US-NW-PSCO,Public Service Company of Colorado,North America,2023,11.0,1091.52,517.47,419.63,606.21,27.81,16.51
US-NW-PSCO,Public Service Company of Colorado,North America,2024,11.44,1087.66,452.15,350.02,554.72,32.1,19.16
US-NW-PSCO,Public Service Company of Colorado,North America,all,11.0,1091.52,527.07,429.32,630.07,27.37,15.4
US-NW-PSEI,Puget Sound Energy,North America,2021,38.72,445.37,155.93,113.08,192.45,36.35,12.49
US-NW-PSEI,Puget Sound Energy,North America,2022,29.32,610.53,138.6,83.34,173.55,48.82,12.8
US-NW-PSEI,Puget Sound Energy,North America,2023,32.17,639.29,207.07,153.15,250.52,41.91,13.47
US-NW-PSEI,Puget Sound Energy,North America,2024,43.11,485.09,175.91,143.11,212.12,32.08,12.3
US-NW-PSEI,Puget Sound Energy,North America,all,29.32,639.29,169.38,116.82,212.35,42.87,12.76
US-NW-SCL,Seattle City Light,North America,2021,26.83,290.28,70.09,47.45,84.89,44.64,14.58
US-NW-SCL,Seattle City Light,North America,2022,24.27,419.37,68.7,44.45,85.58,53.41,14.67
US-NW-SCL,Seattle City Light,North America,2023,24.0,487.98,105.81,73.45,121.32,57.9,18.2
US-NW-SCL,Seattle City Light,North America,2024,25.03,436.71,83.92,57.51,105.06,43.07,16.91
US-NW-SCL,Seattle City Light,North America,all,24.0,487.98,82.13,51.63,101.97,55.37,16.09
US-NW-TPWR,City of Tacoma,North America,2021,24.0,324.69,69.55,44.67,86.94,46.97,16.28
US-NW-TPWR,City of Tacoma,North America,2022,24.07,500.03,68.79,41.86,87.91,58.99,14.3
US-NW-TPWR,City of Tacoma,North America,2023,24.0,509.73,104.78,68.52,121.37,61.33,18.7
US-NW-TPWR,City of Tacoma,North America,2024,24.0,345.38,77.72,55.79,95.35,40.07,16.03
US-NW-TPWR,City of Tacoma,North America,all,24.0,509.73,80.21,48.91,99.61,58.03,16.33
US-NW-WACM,Western Area Power Administration - Rocky Mountain Region,North America,2021,323.17,1086.03,746.78,699.22,796.56,11.61,5.31
US-NW-WACM,Western Area Power Administration - Rocky Mountain Region,North America,2022,122.58,1094.54,751.42,699.09,811.01,13.84,5.78
US-NW-WACM,Western Area Power Administration - Rocky Mountain Region,North America,2023,121.85,1094.54,704.89,625.76,780.93,20.31,7.83
US-NW-WACM,Western Area Power Administration - Rocky Mountain Region,North America,2024,152.75,1088.3,639.5,563.18,724.84,19.81,9.06
US-NW-WACM,Western Area Power Administration - Rocky Mountain Region,North America,all,121.85,1094.54,710.6,648.78,785.6,17.65,6.99
US-NW-WAUW,Western Area Power Administration - Upper Great Plains West,North America,2021,24.0,830.03,320.98,226.61,414.75,40.77,21.71
US-NW-WAUW,Western Area Power Administration - Upper Great Plains West,North America,2022,19.11,786.82,325.39,229.92,414.65,37.94,20.94
US-NW-WAUW,Western Area Power Administration - Upper Great Plains West,North America,2023,24.0,686.09,255.48,175.28,328.4,44.14,27.4
US-NW-WAUW,Western Area Power Administration - Upper Great Plains West,North America,2024,24.0,870.79,266.56,181.39,331.05,46.77,24.95
US-NW-WAUW,Western Area Power Administration - Upper Great Plains West,North America,all,19.11,870.79,292.09,198.94,375.84,43.5,23.75
US-NY-NYIS,New York ISO,North America,2021,151.66,399.99,259.85,231.13,286.2,15.83,6.75
US-NY-NYIS,New York ISO,North America,2022,183.23,374.11,281.17,259.55,301.57,11.04,4.97
US-NY-NYIS,New York ISO,North America,2023,179.08,391.92,277.76,253.74,299.15,12.57,5.08
US-NY-NYIS,New York ISO,North America,2024,181.87,393.12,292.62,270.29,315.97,11.63,4.62
US-NY-NYIS,New York ISO,North America,all,151.66,399.99,277.86,253.07,302.45,13.45,5.35
US-SE-SOCO,Southern Company Services,North America,2021,40.82,861.96,460.85,425.86,496.18,15.03,3.49
US-SE-SOCO,Southern Company Services,North America,2022,342.13,550.29,457.73,438.03,478.19,7.04,3.75
US-SE-SOCO,Southern Company Services,North America,2023,315.5,534.19,431.7,406.9,458.34,8.55,4.23
US-SE-SOCO,Southern Company Services,North America,2024,269.2,525.48,418.21,395.94,441.94,8.87,5.03
US-SE-SOCO,Southern Company Services,North America,all,40.82,861.96,442.1,413.71,469.61,11.22,4.12
US-SW-AZPS,Arizona Public Service Company,North America,2021,195.36,644.32,441.5,402.96,487.68,15.32,10.14
US-SW-AZPS,Arizona Public Service Company,North America,2022,213.48,929.93,466.43,425.07,512.14,16.65,9.11
US-SW-AZPS,Arizona Public Service Company,North America,2023,134.65,746.47,417.57,380.15,465.43,16.67,10.51
US-SW-AZPS,Arizona Public Service Company,North America,2024,158.83,721.96,411.1,365.34,470.25,19.27,14.77
US-SW-AZPS,Arizona Public Service Company,North America,all,134.65,929.93,434.13,391.27,485.9,17.71,11.14
US-SW-EPE,El Paso Electric Company,North America,2021,374.25,811.16,650.73,609.26,700.95,10.57,7.8
US-SW-EPE,El Paso Electric Company,North America,2022,330.8,901.05,613.68,563.41,670.89,13.27,8.89
US-SW-EPE,El Paso Electric Company,North America,2023,269.54,742.51,544.13,486.88,609.27,15.74,11.54
US-SW-EPE,El Paso Electric Company,North America,2024,213.78,742.48,535.65,477.02,614.43,18.26,13.74
US-SW-EPE,El Paso Electric Company,North America,all,213.78,901.05,586.01,522.35,657.92,16.53,10.49
US-SW-PNM,Public Service Company of New Mexico,North America,2021,218.95,987.08,670.63,589.48,754.29,18.15,10.08
US-SW-PNM,Public Service Company of New Mexico,North America,2022,88.64,1170.31,589.75,485.25,697.82,26.43,14.3
US-SW-PNM,Public Service Company of New Mexico,North America,2023,33.0,858.36,429.59,332.61,528.0,33.16,20.04
US-SW-PNM,Public Service Company of New Mexico,North America,2024,39.09,972.96,342.37,225.94,449.07,44.37,31.08
US-SW-PNM,Public Service Company of New Mexico,North America,all,33.0,1170.31,507.97,360.06,657.63,38.03,18.88
US-SW-SRP,Salt River Project,North America,2021,74.35,464.54,272.51,227.34,320.69,22.75,11.65
US-SW-SRP,Salt River Project,North America,2022,11.0,1101.5,283.48,225.44,324.08,34.87,13.46
US-SW-SRP,Salt River Project,North America,2023,107.04,552.28,300.69,262.38,341.89,18.99,10.64
US-SW-SRP,Salt River Project,North America,2024,63.56,683.91,294.22,261.07,343.28,22.68,16.77
US-SW-SRP,Salt River Project,North America,all,11.0,1101.5,287.73,243.51,333.0,25.65,13.13
US-SW-TEPC,Tucson Electric Power Company,North America,2021,270.11,945.95,651.35,585.76,725.49,15.41,7.96
US-SW-TEPC,Tucson Electric Power Company,North America,2022,141.73,992.73,618.65,543.68,700.15,18.71,11.86
US-SW-TEPC,Tucson Electric Power Company,North America,2023,175.17,873.76,590.52,512.9,684.99,20.85,13.87
US-SW-TEPC,Tucson Electric Power Company,North America,2024,231.22,788.83,589.75,549.25,654.95,16.36,12.28
US-SW-TEPC,Tucson Electric Power Company,North America,all,141.73,992.73,612.55,551.78,687.55,18.34,11.49
US-SW-WALC,Western Area Power Administration - Desert Southwest Region,North America,2021,171.26,584.21,374.64,327.77,420.71,17.13,10.22
US-SW-WALC,Western Area Power Administration - Desert Southwest Region,North America,2022,210.64,670.43,386.21,339.17,427.57,16.46,8.7
US-SW-WALC,Western Area Power Administration - Desert Southwest Region,North America,2023,142.85,611.19,380.56,342.22,416.24,14.23,8.25
US-SW-WALC,Western Area Power Administration - Desert Southwest Region,North America,2024,133.98,589.92,341.56,291.16,389.92,20.76,10.68
US-SW-WALC,Western Area Power Administration - Desert Southwest Region,North America,all,133.98,670.43,370.72,326.42,415.42,17.75,9.46
US-TEN-TVA,Tennessee Valley Authority,North America,2021,167.62,521.17,363.03,325.11,404.69,15.87,4.71
US-TEN-TVA,Tennessee Valley Authority,North America,2022,172.25,531.44,369.57,331.98,408.86,13.97,4.11
US-TEN-TVA,Tennessee Valley Authority,North America,2023,221.67,498.43,349.47,315.8,381.73,13.08,4.18
US-TEN-TVA,Tennessee Valley Authority,North America,2024,179.13,511.59,369.45,326.05,413.55,15.11,4.59
US-TEN-TVA,Tennessee Valley Authority,North America,all,167.62,531.44,362.88,324.28,402.97,14.75,4.4
US-TEX-ERCO,Electric Reliability Council of Texas,North America,2021,183.5,609.22,417.94,349.8,492.8,21.43,10.44
US-TEX-ERCO,Electric Reliability Council of Texas,North America,2022,129.57,601.66,399.53,336.91,464.97,20.85,10.87
US-TEX-ERCO,Electric Reliability Council of Texas,North America,2023,152.87,578.31,380.55,315.9,446.54,22.89,12.66
US-TEX-ERCO,Electric Reliability Council of Texas,North America,2024,135.53,579.76,367.41,300.52,434.3,24.98,15.36
US-TEX-ERCO,Electric Reliability Council of Texas,North America,all,129.57,609.22,391.34,324.44,461.87,23.01,12.34
UY,Uruguay,South America,2021,18.44,445.15,142.63,44.05,211.03,68.47,27.42
UY,Uruguay,South America,2022,14.0,480.35,96.25,33.8,138.12,103.69,22.62
UY,Uruguay,South America,2023,14.34,430.07,93.11,41.67,128.11,85.09,23.5
UY,Uruguay,South America,2024,20.99,235.48,52.31,40.94,56.32,43.66,16.73
UY,Uruguay,South America,all,14.0,480.35,96.04,38.83,138.43,90.73,22.56
ZA,South Africa,Africa,2021,585.18,779.57,710.2,688.6,734.71,4.71,3.2
ZA,South Africa,Africa,2022,586.25,778.38,704.26,682.47,729.43,4.8,3.14
ZA,South Africa,Africa,2023,590.97,775.44,702.13,680.34,725.35,4.41,3.47
ZA,South Africa,Africa,2024,605.95,801.03,713.09,690.45,737.45,4.48,3.38
ZA,South Africa,Africa,all,585.18,801.03,707.42,685.14,731.79,4.65,3.3
